CompanyCode,DateMonth,Pages,Devices,Learners
,2017/09/01,11738,2,0
,2017/10/01,104851,6,0
,2017/11/01,171714,6,0
,2017/12/01,58537,7,0
,2018/01/01,142226,7,0
,2018/02/01,129976,3,0
,2018/03/01,39264,1,0
,2021/02/01,2,1,0
Adm,2017/08/01,72910,1,0
Adm,2017/09/01,78424,2,0
Adm,2017/10/01,236369,2,0
Adm,2017/11/01,223217,2,0
Adm,2017/12/01,39803,2,0
Adm,2018/01/01,237295,2,0
Adm,2018/02/01,175919,2,0
Adm,2018/03/01,157124,2,0
Adm,2018/04/01,149328,2,0
Adm,2018/05/01,6589,2,0
BBB,2020/03/01,81264,2,821
BBB,2020/04/01,614,2,821
BBB,2020/05/01,7319,2,830
BBB,2020/06/01,14738,2,826
BBB,2020/07/01,56258,2,824
BBB,2020/08/01,23189,2,821
BBB,2020/09/01,9155,2,832
BBB,2020/10/01,28330,2,831
BBB,2020/11/01,41173,2,830
BBB,2020/12/01,4940,2,743
BBB,2021/01/01,36024,2,861
BBB,2021/02/01,29808,2,862
BBB,2021/03/01,54858,2,862
CAM,2017/09/01,31627,2,920
CAM,2017/10/01,63006,2,920
CAM,2017/11/01,44476,2,920
CAM,2017/12/01,11187,2,802
CAM,2018/01/01,39270,2,1010
CAM,2018/02/01,80816,2,1018
CAM,2018/03/01,47734,2,1016
CAM,2018/04/01,23763,2,1012
CAM,2018/05/01,43376,2,1007
CAM,2018/06/01,33108,2,1001
CAM,2018/07/01,4366,2,994
CAM,2018/10/01,1131,1,982
CAM,2018/11/01,1144,1,982
CAM,2018/12/01,99,1,836
CAM,2019/01/01,263,1,1002
CAM,2019/03/01,1526,1,995
CAM,2019/04/01,998,1,997
CAM,2019/05/01,1474,1,994
CAM,2019/06/01,173,1,993
CAM,2019/07/01,1274,1,990
CAM,2019/08/01,2035,1,987
CAM,2019/09/01,1092,1,986
CAM,2019/10/01,8168,1,986
CAM,2019/11/01,135,1,984
CAM,2019/12/01,253,1,881
CAM,2020/01/01,120,1,991
CAM,2020/02/01,962,1,995
CAM,2020/03/01,515,1,994
CAM,2020/05/01,726,1,995
CAM,2020/06/01,597,1,970
CAM,2020/07/01,2062,1,971
CAM,2020/08/01,7951,1,964
CAM,2020/09/01,1103,1,966
CAM,2020/10/01,1296,1,970
CAM,2020/11/01,449,1,971
CAM,2020/12/01,319,1,862
CAM,2021/01/01,20431,2,1133
CAM,2021/02/01,53375,2,1151
CAM,2021/03/01,41703,2,1153
CAR,2017/08/01,1806,1,1818
CAR,2017/09/01,11930,1,1809
CAR,2017/10/01,5553,1,1818
CAR,2017/11/01,7161,1,1812
CAR,2017/12/01,2784,1,1576
CAR,2018/01/01,9593,1,1789
CAR,2018/02/01,8477,1,1794
CAR,2018/03/01,4743,1,1780
CAR,2018/04/01,3029,1,1779
CAR,2018/05/01,5715,1,1778
CAR,2018/06/01,3222,1,1766
CAR,2018/07/01,3254,1,1772
CAR,2018/08/01,6613,1,1758
CAR,2018/09/01,4056,1,1753
CAR,2018/10/01,6594,1,1753
CAR,2018/11/01,6816,1,1755
CAR,2018/12/01,2794,1,1508
CAR,2019/01/01,8724,1,1709
CAR,2019/02/01,9189,1,1709
CAR,2019/03/01,18999,1,1685
CAR,2019/04/01,4314,1,1696
CAR,2019/05/01,6807,1,1687
CAR,2019/06/01,7292,1,1686
CAR,2019/07/01,6399,1,1695
CAR,2019/08/01,13138,1,1692
CAR,2019/09/01,1892,1,1686
CAR,2019/10/01,4564,1,1688
CAR,2019/11/01,7432,1,1688
CAR,2019/12/01,640,1,1433
CAR,2020/01/01,7807,1,1648
CAR,2020/02/01,20100,1,1646
CAR,2020/03/01,940,1,1647
CAR,2020/05/01,528,1,1641
CAR,2020/06/01,934,1,1626
CAR,2020/07/01,778,1,1619
CAR,2020/08/01,1002,1,1613
